employee_id,full_name,email,department,sub_team,job_level,hire_date,exit_date,exit_type,region,manager_id,is_active,employee_status
EMP-00051,Sydney Cox,sydney.cox@company.com,Customer Success,Renewals,L3,10-11-2018,22-06-2022,voluntary,EU,EMP-00016,FALSE,exited
EMP-00052,Lisa Perry,lisa.perry@company.com,Customer Success,Account Management,L3,12-02-2018,30-10-2019,voluntary,EU,EMP-00014,FALSE,exited
EMP-00053,Susan Simmons,susan.simmons@company.com,Customer Success,Renewals,L3,21-08-2018,12-11-2019,voluntary,US,EMP-00016,FALSE,exited
EMP-00054,Kelly Rice,kelly.rice@company.com,Customer Success,Support,L3,24-08-2018,,,US,EMP-00019,TRUE,active
EMP-00055,Jason Ford,jason.ford@company.com,Customer Success,Renewals,L3,04-02-2018,,,APAC,EMP-00015,TRUE,active
EMP-00056,Caleb Medina,caleb.medina@company.com,Customer Success,Renewals,L3,19-01-2018,28-01-2020,performance,EU,EMP-00016,FALSE,exited
EMP-00057,Debra Sharma,debra.sharma@company.com,Customer Success,Renewals,L3,01-06-2018,12-02-2021,layoff,US,EMP-00025,FALSE,exited
EMP-00058,Kayla King,kayla.king@company.com,Customer Success,Support,L3,28-02-2018,21-05-2021,voluntary,EU,EMP-00027,FALSE,exited
EMP-00059,Daniel Fleming,daniel.fleming@company.com,Customer Success,Renewals,L3,08-06-2018,,,EU,EMP-00022,TRUE,active
EMP-00060,Jack Bennett,jack.bennett@company.com,Customer Success,Onboarding,L3,04-10-2018,10-07-2022,layoff,US,EMP-00023,FALSE,exited
EMP-00061,Derek Jensen,derek.jensen@company.com,Customer Success,Renewals,L3,25-02-2018,13-10-2022,layoff,US,EMP-00028,FALSE,exited
EMP-00062,Sarah Webb,sarah.webb@company.com,Customer Success,Onboarding,L3,22-02-2018,,,US,EMP-00011,TRUE,active
EMP-00063,Kevin Griffin,kevin.griffin@company.com,Customer Success,Renewals,L3,20-07-2018,09-04-2022,voluntary,EU,EMP-00025,FALSE,exited
EMP-00064,Blake Hamilton,blake.hamilton@company.com,Customer Success,Onboarding,L3,07-05-2018,16-01-2020,layoff,EU,EMP-00011,FALSE,exited
EMP-00065,Sharon Thompson,sharon.thompson@company.com,Customer Success,Renewals,L3,15-08-2018,,,US,EMP-00028,TRUE,active
EMP-00066,Ashley Wagner,ashley.wagner@company.com,Customer Success,Renewals,L3,05-11-2018,,,US,EMP-00028,TRUE,active
EMP-00067,Benjamin Little,benjamin.little@company.com,Customer Success,Account Management,L3,12-09-2018,,,US,EMP-00018,TRUE,active
EMP-00068,Amy Vasquez,amy.vasquez@company.com,Customer Success,Account Management,L3,09-02-2018,28-11-2022,voluntary,US,EMP-00012,FALSE,exited
EMP-00069,Larry Byrd,larry.byrd@company.com,Customer Success,Account Management,L3,24-08-2018,20-06-2019,performance,US,EMP-00026,FALSE,exited
EMP-00070,Edward Mendoza,edward.mendoza@company.com,Customer Success,Account Management,L3,01-12-2018,,,EU,EMP-00014,TRUE,active
EMP-00071,Emma Fox,emma.fox@company.com,Customer Success,Support,L3,07-08-2018,28-06-2022,voluntary,US,EMP-00027,FALSE,exited
EMP-00072,Jeremy Fisher,jeremy.fisher@company.com,Customer Success,Support,L3,26-01-2018,03-07-2023,voluntary,US,EMP-00019,FALSE,exited
EMP-00073,Charles Webb,charles.webb@company.com,Customer Success,Account Management,L2,16-02-2018,27-02-2020,voluntary,EU,EMP-00026,FALSE,exited
EMP-00074,Samantha King,samantha.king@company.com,Customer Success,Renewals,L2,01-11-2018,11-07-2021,layoff,US,EMP-00020,FALSE,exited
EMP-00075,Janet Burns,janet.burns@company.com,Customer Success,Support,L2,27-05-2018,,,EU,EMP-00027,TRUE,active
EMP-00076,Crystal Jackson,crystal.jackson@company.com,Customer Success,Support,L2,25-09-2018,29-08-2021,voluntary,US,EMP-00027,FALSE,exited
EMP-00077,Shirley Stewart,shirley.stewart@company.com,Customer Success,Onboarding,L2,03-01-2018,,,US,EMP-00011,TRUE,active
EMP-00078,Andrea Wood,andrea.wood@company.com,Customer Success,Onboarding,L2,02-01-2018,26-09-2023,voluntary,EU,EMP-00023,FALSE,exited
EMP-00079,Adam Gonzales,adam.gonzales@company.com,Customer Success,Renewals,L2,17-08-2018,,,US,EMP-00028,TRUE,active
EMP-00080,Ann Tucker,ann.tucker@company.com,Customer Success,Renewals,L2,03-09-2018,17-04-2020,voluntary,US,EMP-00025,FALSE,exited
EMP-00081,Helen Lee,helen.lee@company.com,Customer Success,Account Management,L2,09-08-2018,,,US,EMP-00012,TRUE,active
EMP-00082,Donna Tucker,donna.tucker@company.com,Customer Success,Renewals,L2,07-07-2018,,,US,EMP-00028,TRUE,active
EMP-00083,Erica Ali,erica.ali@company.com,Customer Success,Renewals,L2,19-04-2018,19-11-2022,layoff,US,EMP-00025,FALSE,exited
EMP-00084,Helen Daniels,helen.daniels@company.com,Customer Success,Support,L2,21-08-2018,03-02-2019,layoff,APAC,EMP-00017,FALSE,exited
EMP-00085,Joseph Cooper,joseph.cooper@company.com,Customer Success,Renewals,L2,28-06-2018,25-03-2019,voluntary,APAC,EMP-00016,FALSE,exited
EMP-00086,Peter Palmer,peter.palmer@company.com,Customer Success,Onboarding,L2,14-02-2018,,,US,EMP-00011,TRUE,active
EMP-00087,Donald Brown,donald.brown@company.com,Customer Success,Onboarding,L2,10-08-2018,,,APAC,EMP-00011,TRUE,active
EMP-00088,Michelle Ruiz,michelle.ruiz@company.com,Customer Success,Account Management,L2,23-09-2018,07-03-2022,layoff,US,EMP-00012,FALSE,exited
EMP-00089,Adrian Patel,adrian.patel@company.com,Customer Success,Account Management,L1,17-12-2018,21-07-2023,voluntary,US,EMP-00026,FALSE,exited
EMP-00090,Steven Franklin,steven.franklin@company.com,Customer Success,Renewals,L1,06-09-2018,17-10-2022,voluntary,US,EMP-00020,FALSE,exited
EMP-00091,Reese Walker,reese.walker@company.com,Customer Success,Renewals,L1,09-10-2018,01-07-2021,layoff,US,EMP-00025,FALSE,exited
EMP-00092,Cody Alexander,cody.alexander@company.com,Customer Success,Onboarding,L1,01-10-2018,14-03-2021,voluntary,US,EMP-00023,FALSE,exited
EMP-00093,Finn Mason,finn.mason@company.com,Customer Success,Renewals,L1,03-04-2018,01-04-2020,voluntary,APAC,EMP-00020,FALSE,exited
EMP-00094,Noah Ortiz,noah.ortiz@company.com,Customer Success,Renewals,L1,16-08-2018,07-05-2026,layoff,US,EMP-00022,FALSE,exited
EMP-00095,Kevin Gutierrez,kevin.gutierrez@company.com,Customer Success,Account Management,L1,28-01-2018,04-03-2021,layoff,APAC,EMP-00026,FALSE,exited
EMP-00096,Emery Porter,emery.porter@company.com,Customer Success,Renewals,L1,25-02-2018,05-06-2019,voluntary,US,EMP-00015,FALSE,exited
EMP-00097,Sofia Alvarez,sofia.alvarez@company.com,Customer Success,Account Management,L1,04-09-2018,03-02-2026,voluntary,US,EMP-00013,FALSE,exited
EMP-00098,Gary Lopez,gary.lopez@company.com,Customer Success,Account Management,L1,28-01-2018,22-10-2020,voluntary,US,EMP-00012,FALSE,exited
EMP-00099,Amanda Berg,amanda.berg@company.com,Customer Success,Renewals,L1,13-06-2018,24-01-2025,layoff,US,EMP-00016,FALSE,exited
EMP-00100,Phoenix Kelley,phoenix.kelley@company.com,Engineering,Frontend,L7,26-01-2018,02-04-2022,voluntary,EU,,FALSE,exited
EMP-00101,Laura Price,laura.price@company.com,Engineering,QA,L7,14-09-2018,10-01-2020,layoff,EU,,FALSE,exited
EMP-00102,Samantha Ward,samantha.ward@company.com,Engineering,DevOps,L7,24-03-2018,19-02-2020,voluntary,EU,,FALSE,exited
EMP-00103,Catherine Walker,catherine.walker@company.com,Engineering,Data,L7,19-10-2018,28-03-2021,voluntary,US,,FALSE,exited
EMP-00104,Amanda Murphy,amanda.murphy@company.com,Engineering,Data,L7,02-07-2018,01-04-2022,voluntary,US,,FALSE,exited
EMP-00105,Aaron Moore,aaron.moore@company.com,Engineering,Backend,L7,02-10-2018,25-03-2023,voluntary,US,,FALSE,exited
EMP-00106,Sean Larson,sean.larson@company.com,Engineering,Backend,L6,28-11-2018,20-10-2022,retirement,EU,EMP-00102,FALSE,exited
EMP-00107,Peter Williams,peter.williams@company.com,Engineering,Data,L6,03-04-2018,18-07-2024,performance,APAC,EMP-00104,FALSE,exited
EMP-00108,Adrian Gray,adrian.gray@company.com,Engineering,Data,L6,10-05-2018,11-03-2025,layoff,US,EMP-00104,FALSE,exited
EMP-00109,Jack Hunter,jack.hunter@company.com,Engineering,DevOps,L6,08-09-2018,,,US,EMP-00103,TRUE,active
EMP-00110,Miranda Burns,miranda.burns@company.com,Engineering,Frontend,L6,25-12-2018,21-01-2019,voluntary,US,EMP-00101,FALSE,exited
EMP-00111,Mary Reynolds,mary.reynolds@company.com,Engineering,QA,L6,08-10-2018,13-08-2020,layoff,US,EMP-00101,FALSE,exited
EMP-00112,Xavier Hassan,xavier.hassan@company.com,Engineering,Data,L6,18-01-2018,17-04-2022,performance,US,EMP-00102,FALSE,exited
EMP-00113,James Blair,james.blair@company.com,Engineering,Frontend,L6,01-09-2018,30-11-2024,voluntary,EU,EMP-00102,FALSE,exited
EMP-00114,Anthony Evans,anthony.evans@company.com,Engineering,Frontend,L5,28-08-2018,,,APAC,EMP-00110,TRUE,active
EMP-00115,Cheryl Thomas,cheryl.thomas@company.com,Engineering,Frontend,L5,08-07-2018,04-05-2021,voluntary,US,EMP-00112,FALSE,exited
EMP-00116,Nancy Lopez,nancy.lopez@company.com,Engineering,QA,L5,05-12-2018,18-04-2021,voluntary,US,EMP-00110,FALSE,exited
EMP-00117,Leah Perry,leah.perry@company.com,Engineering,DevOps,L5,28-12-2018,14-11-2021,voluntary,APAC,EMP-00112,FALSE,exited
EMP-00118,Sebastian Harris,sebastian.harris@company.com,Engineering,Data,L5,24-06-2018,04-01-2024,voluntary,APAC,EMP-00107,FALSE,exited
EMP-00119,Karen Hunter,karen.hunter@company.com,Engineering,Frontend,L5,21-07-2018,,,US,EMP-00112,TRUE,active
EMP-00120,Jacob Watson,jacob.watson@company.com,Engineering,Backend,L5,14-07-2018,24-07-2020,voluntary,US,EMP-00108,FALSE,exited
EMP-00121,Leah Khan,leah.khan@company.com,Engineering,Backend,L5,11-04-2018,14-05-2024,voluntary,EU,EMP-00112,FALSE,exited
EMP-00122,Anna Rogers,anna.rogers@company.com,Engineering,Frontend,L5,11-09-2018,24-04-2025,voluntary,US,EMP-00113,FALSE,exited
EMP-00123,Jasmine Gill,jasmine.gill@company.com,Engineering,Backend,L5,07-01-2018,05-12-2021,voluntary,US,EMP-00108,FALSE,exited
EMP-00124,Kevin Hayes,kevin.hayes@company.com,Engineering,Data,L5,05-08-2018,17-02-2019,layoff,US,EMP-00107,FALSE,exited
EMP-00125,Ann Russell,ann.russell@company.com,Engineering,Frontend,L5,14-06-2018,25-09-2021,voluntary,EU,EMP-00107,FALSE,exited
EMP-00126,Brandon Bryant,brandon.bryant@company.com,Engineering,DevOps,L5,07-12-2018,12-06-2022,voluntary,US,EMP-00113,FALSE,exited
EMP-00127,Joshua Chen,joshua.chen@company.com,Engineering,QA,L5,04-04-2018,19-12-2024,voluntary,US,EMP-00107,FALSE,exited
EMP-00128,Sharon Ali,sharon.ali@company.com,Engineering,Frontend,L5,27-09-2018,30-04-2021,voluntary,US,EMP-00106,FALSE,exited
EMP-00129,Finn Reed,finn.reed@company.com,Engineering,Frontend,L5,05-11-2018,11-03-2019,layoff,EU,EMP-00107,FALSE,exited
EMP-00130,Alexis Bennett,alexis.bennett@company.com,Engineering,QA,L5,13-12-2018,06-11-2023,performance,US,EMP-00106,FALSE,exited
EMP-00131,Julie Johansson,julie.johansson@company.com,Engineering,DevOps,L5,06-04-2018,19-04-2022,voluntary,EU,EMP-00106,FALSE,exited
EMP-00132,Matthew Bryant,matthew.bryant@company.com,Engineering,QA,L5,24-06-2018,02-05-2020,voluntary,APAC,EMP-00109,FALSE,exited
EMP-00133,Ashley Brown,ashley.brown@company.com,Engineering,Data,L5,26-02-2018,,,US,EMP-00108,TRUE,active
EMP-00134,Dorothy Turner,dorothy.turner@company.com,Engineering,QA,L5,25-01-2018,10-11-2020,voluntary,US,EMP-00109,FALSE,exited
EMP-00135,Alice Wagner,alice.wagner@company.com,Engineering,Backend,L5,12-10-2018,13-03-2025,retirement,US,EMP-00107,FALSE,exited
EMP-00136,Jennifer Taylor,jennifer.taylor@company.com,Engineering,Backend,L4,27-04-2018,24-06-2023,voluntary,APAC,EMP-00120,FALSE,exited
EMP-00137,Shannon Allen,shannon.allen@company.com,Engineering,Backend,L4,21-03-2018,30-01-2020,layoff,US,EMP-00135,FALSE,exited
EMP-00138,Ashley Hernandez,ashley.hernandez@company.com,Engineering,Data,L4,28-02-2018,04-02-2023,performance,US,EMP-00124,FALSE,exited
EMP-00139,Kendall Porter,kendall.porter@company.com,Engineering,Backend,L4,02-12-2018,,,US,EMP-00121,TRUE,active
EMP-00140,Martha Davis,martha.davis@company.com,Engineering,Data,L4,24-06-2018,18-11-2019,voluntary,EU,EMP-00124,FALSE,exited
EMP-00141,Alexander Edwards,alexander.edwards@company.com,Engineering,Data,L4,14-05-2018,30-11-2019,voluntary,EU,EMP-00118,FALSE,exited
EMP-00142,Zachary Hill,zachary.hill@company.com,Engineering,QA,L4,09-11-2018,17-07-2021,layoff,EU,EMP-00130,FALSE,exited
EMP-00143,Danielle Brooks,danielle.brooks@company.com,Engineering,Backend,L4,20-01-2018,17-02-2019,performance,US,EMP-00121,FALSE,exited
EMP-00144,Jessica Thompson,jessica.thompson@company.com,Engineering,Frontend,L4,18-06-2018,,,US,EMP-00122,TRUE,active
EMP-00145,Stephanie Warren,stephanie.warren@company.com,Engineering,DevOps,L4,05-04-2018,11-03-2019,layoff,APAC,EMP-00126,FALSE,exited
EMP-00146,Denise Park,denise.park@company.com,Engineering,QA,L4,17-11-2018,,,US,EMP-00127,TRUE,active
EMP-00147,Adrian Kelley,adrian.kelley@company.com,Engineering,Frontend,L4,01-07-2018,,,EU,EMP-00122,TRUE,active
EMP-00148,Frank Crawford,frank.crawford@company.com,Engineering,Backend,L4,18-05-2018,13-01-2026,performance,US,EMP-00135,FALSE,exited
EMP-00149,George Miller,george.miller@company.com,Engineering,QA,L4,13-07-2018,08-06-2024,performance,APAC,EMP-00130,FALSE,exited
EMP-00150,Finley Singh,finley.singh@company.com,Engineering,Data,L4,08-04-2018,,,EU,EMP-00118,TRUE,active
EMP-00151,Jacqueline Russell,jacqueline.russell@company.com,Engineering,QA,L4,02-10-2018,01-06-2023,voluntary,EU,EMP-00132,FALSE,exited
EMP-00152,Betty Reed,betty.reed@company.com,Engineering,Frontend,L4,08-10-2018,05-10-2026,voluntary,APAC,EMP-00115,FALSE,exited
EMP-00153,Blake Little,blake.little@company.com,Engineering,Data,L4,09-08-2018,27-01-2025,layoff,US,EMP-00133,FALSE,exited
EMP-00154,Jeffrey Mason,jeffrey.mason@company.com,Engineering,Frontend,L4,02-12-2018,27-12-2021,voluntary,EU,EMP-00129,FALSE,exited
EMP-00155,Alexander Hassan,alexander.hassan@company.com,Engineering,QA,L4,26-11-2018,21-07-2022,voluntary,US,EMP-00132,FALSE,exited
EMP-00156,Jacob Hunter,jacob.hunter@company.com,Engineering,Backend,L4,06-12-2018,01-07-2026,voluntary,US,EMP-00121,FALSE,exited
EMP-00157,Phoenix Hunter,phoenix.hunter@company.com,Engineering,Backend,L4,24-04-2018,22-09-2021,layoff,EU,EMP-00123,FALSE,exited
EMP-00158,Janice Crawford,janice.crawford@company.com,Engineering,Backend,L4,23-01-2018,07-03-2019,layoff,US,EMP-00123,FALSE,exited
EMP-00159,Lucas Reyes,lucas.reyes@company.com,Engineering,QA,L4,07-02-2018,06-06-2025,voluntary,US,EMP-00132,FALSE,exited
EMP-00160,Joseph Rogers,joseph.rogers@company.com,Engineering,Data,L4,02-03-2018,13-05-2022,voluntary,US,EMP-00118,FALSE,exited
EMP-00161,Walter Smith,walter.smith@company.com,Engineering,Frontend,L4,01-08-2018,30-01-2021,layoff,APAC,EMP-00125,FALSE,exited
EMP-00162,Cody King,cody.king@company.com,Engineering,DevOps,L4,20-04-2018,05-01-2023,performance,US,EMP-00117,FALSE,exited
EMP-00163,Jessica Garcia,jessica.garcia@company.com,Engineering,DevOps,L4,06-05-2018,06-12-2021,voluntary,EU,EMP-00126,FALSE,exited
EMP-00164,Sean Lewis,sean.lewis@company.com,Engineering,Data,L4,23-02-2018,04-09-2021,voluntary,US,EMP-00118,FALSE,exited
EMP-00165,Charles Perry,charles.perry@company.com,Engineering,QA,L4,28-11-2018,21-05-2023,layoff,EU,EMP-00130,FALSE,exited
EMP-00166,Evan Sanchez,evan.sanchez@company.com,Engineering,Frontend,L4,22-09-2018,23-04-2021,voluntary,EU,EMP-00122,FALSE,exited
EMP-00167,Joshua Fleming,joshua.fleming@company.com,Engineering,Data,L4,11-05-2018,19-01-2022,layoff,EU,EMP-00118,FALSE,exited
EMP-00168,Nathaniel Hughes,nathaniel.hughes@company.com,Engineering,Backend,L4,26-12-2018,23-02-2019,voluntary,EU,EMP-00135,FALSE,exited
EMP-00169,Charlie Robertson,charlie.robertson@company.com,Engineering,DevOps,L4,18-03-2018,,,US,EMP-00131,TRUE,active
EMP-00170,Evan Kumar,evan.kumar@company.com,Engineering,Data,L4,08-10-2018,13-07-2024,voluntary,EU,EMP-00133,FALSE,exited
EMP-00171,Sawyer Brooks,sawyer.brooks@company.com,Engineering,DevOps,L4,10-03-2018,14-06-2022,voluntary,US,EMP-00131,FALSE,exited
EMP-00172,Leah Porter,leah.porter@company.com,Engineering,DevOps,L4,24-02-2018,,,APAC,EMP-00117,TRUE,active
EMP-00173,William Campbell,william.campbell@company.com,Engineering,Data,L4,25-05-2018,,,EU,EMP-00133,TRUE,active
EMP-00174,Jeffrey Mills,jeffrey.mills@company.com,Engineering,Frontend,L4,26-08-2018,08-03-2022,voluntary,US,EMP-00125,FALSE,exited
EMP-00175,Raymond Matthews,raymond.matthews@company.com,Engineering,Backend,L4,16-07-2018,,,US,EMP-00121,TRUE,active
EMP-00176,Kevin Boyd,kevin.boyd@company.com,Engineering,Frontend,L4,12-01-2018,23-07-2021,voluntary,EU,EMP-00119,FALSE,exited
EMP-00177,Natalie Ferguson,natalie.ferguson@company.com,Engineering,Frontend,L4,03-11-2018,07-03-2019,layoff,EU,EMP-00129,FALSE,exited
EMP-00178,John Kelly,john.kelly@company.com,Engineering,QA,L4,11-08-2018,05-02-2021,voluntary,EU,EMP-00132,FALSE,exited
EMP-00179,Rachel Bell,rachel.bell@company.com,Engineering,QA,L3,23-03-2018,30-03-2019,performance,EU,EMP-00116,FALSE,exited
EMP-00180,Richard Fisher,richard.fisher@company.com,Engineering,Frontend,L3,24-10-2018,,,APAC,EMP-00114,TRUE,active
EMP-00181,Reese Hamilton,reese.hamilton@company.com,Engineering,Backend,L3,14-06-2018,03-12-2025,voluntary,US,EMP-00121,FALSE,exited
EMP-00182,Gloria Butler,gloria.butler@company.com,Engineering,Backend,L3,13-06-2018,04-04-2024,layoff,EU,EMP-00123,FALSE,exited
EMP-00183,Nathaniel Blair,nathaniel.blair@company.com,Engineering,DevOps,L3,16-02-2018,,,EU,EMP-00131,TRUE,active
EMP-00184,Charles Chang,charles.chang@company.com,Engineering,Data,L3,06-09-2018,,,US,EMP-00124,TRUE,active
EMP-00185,Samantha Gomez,samantha.gomez@company.com,Engineering,DevOps,L3,10-11-2018,14-01-2022,voluntary,APAC,EMP-00117,FALSE,exited
EMP-00186,Carol Butler,carol.butler@company.com,Engineering,DevOps,L3,03-12-2018,09-03-2021,voluntary,APAC,EMP-00126,FALSE,exited
EMP-00187,Finley White,finley.white@company.com,Engineering,Frontend,L3,03-02-2018,25-04-2022,voluntary,US,EMP-00125,FALSE,exited
EMP-00188,Ryder Davis,ryder.davis@company.com,Engineering,QA,L3,20-05-2018,01-04-2023,voluntary,US,EMP-00132,FALSE,exited
EMP-00189,Ruth Wallace,ruth.wallace@company.com,Engineering,Frontend,L3,21-06-2018,18-11-2025,voluntary,US,EMP-00115,FALSE,exited
EMP-00190,Edward Carter,edward.carter@company.com,Engineering,Frontend,L3,04-02-2018,,,EU,EMP-00119,TRUE,active
EMP-00191,Diana Richardson,diana.richardson@company.com,Engineering,Backend,L3,18-05-2018,18-05-2022,voluntary,EU,EMP-00123,FALSE,exited
EMP-00192,Tyler Porter,tyler.porter@company.com,Engineering,QA,L3,04-04-2018,19-09-2022,layoff,US,EMP-00116,FALSE,exited
