license_id,of_id,current_of_id,vendor,sku,seat_type,assigned_email,employee_id,department,job_level,provisioned_date,effective_license_date,last_active_date,license_status,usage_tier,seat_tier_match,days_since_last_active,active_usage_rate,login_events_30d,tenure_days,days_since_provisioned,license_age_band,hire_cohort_year,hire_cohort_half,monthly_cost,annual_cost,cost_at_risk,reclamation_candidate,churn_risk_score,contract_days_remaining,renewal_urgency,notice_deadline,days_until_notice,auto_renewal,true_down_rights,measurement_method
LIC-0000025,V1-OF-044,V1-OF-052,Atlassify,Wiki Lite,Full,oliver.nelson@company.com,EMP-00014,Customer Success,L5,05-09-2018,01-01-2021,01-05-2026,active,moderate,match,0,0.3864,17,2808,2795,legacy,2018,2018-H2,19.98,239.76,0,FALSE,0.3068,426,ok,02-05-2027,366,FALSE,TRUE,average
LIC-0000028,V3-OF-087,V3-OF-093,Nexaflow,Mobile Access,Full,john.owens@company.com,EMP-00016,Customer Success,L5,12-06-2018,01-04-2021,29-12-2024,active,moderate,match,488,0.341,10,2890,2880,legacy,2018,2018-H1,22.23,266.76,0,FALSE,0.3795,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000032,V3-OF-097,V3-OF-093,Nexaflow,Mobile Access,Full,lisa.crawford@company.com,EMP-00019,Customer Success,L5,29-11-2018,01-04-2021,30-04-2026,active,power,match,1,0.7789,32,2723,2710,legacy,2018,2018-H2,22.23,266.76,0,FALSE,0.1133,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000035,V3-OF-014,V3-OF-020,Nexaflow,Flow Lite,Full,carol.byrd@company.com,EMP-00021,Customer Success,L5,28-04-2018,01-10-2021,28-04-2026,active,moderate,match,3,0.5033,20,2935,2925,legacy,2018,2018-H1,31.23,374.76,0,FALSE,0.2567,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000038,V3-OF-015,V3-OF-020,Nexaflow,Flow Lite,Full,riley.curry@company.com,EMP-00024,Customer Success,L5,20-10-2018,01-10-2022,19-04-2026,active,underutilized,match,12,0.1959,7,2758,2750,legacy,2018,2018-H2,31.23,374.76,0,FALSE,0.4354,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000039,V3-OF-098,V3-OF-093,Nexaflow,Mobile Access,Full,riley.curry@company.com,EMP-00024,Customer Success,L5,20-10-2018,01-10-2021,25-04-2026,active,moderate,match,6,0.3456,17,2758,2750,legacy,2018,2018-H2,22.23,266.76,0,FALSE,0.3439,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000041,V3-OF-084,V3-OF-093,Nexaflow,Mobile Access,Contributor,quinn.payne@company.com,EMP-00029,Customer Success,L4,04-04-2018,01-01-2019,26-04-2026,active,power,match,5,0.8625,26,2958,2949,legacy,2018,2018-H1,22.23,266.76,0,FALSE,0.0826,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000042,V3-OF-010,V3-OF-020,Nexaflow,Flow Lite,Contributor,theresa.scott@company.com,EMP-00030,Customer Success,L4,15-08-2018,01-01-2019,27-04-2026,active,power,match,4,0.6224,20,2817,2816,legacy,2018,2018-H2,31.23,374.76,0,FALSE,0.1999,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000043,V3-OF-085,V3-OF-093,Nexaflow,Mobile Access,Contributor,theresa.scott@company.com,EMP-00030,Customer Success,L4,15-08-2018,01-01-2020,21-04-2026,active,moderate,match,10,0.4192,12,2817,2816,legacy,2018,2018-H2,22.23,266.76,0,FALSE,0.3182,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000047,V3-OF-011,V3-OF-020,Nexaflow,Flow Lite,Contributor,adam.butler@company.com,EMP-00039,Customer Success,L4,23-07-2018,01-01-2020,18-04-2026,active,power,match,13,0.6011,16,2853,2839,legacy,2018,2018-H2,31.23,374.76,0,FALSE,0.2356,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000048,V3-OF-088,V3-OF-093,Nexaflow,Mobile Access,Full,adam.butler@company.com,EMP-00039,Customer Success,L4,23-07-2018,01-04-2022,17-04-2026,over_tier,moderate,over_tier,14,0.5756,24,2853,2839,legacy,2018,2018-H2,22.23,266.76,0,FALSE,0.2511,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000049,V1-OF-043,V1-OF-052,Atlassify,Wiki Lite,Contributor,adam.butler@company.com,EMP-00039,Customer Success,L4,23-07-2018,01-01-2020,19-11-2024,active,power,match,528,0.643,5,2853,2839,legacy,2018,2018-H2,19.98,239.76,0,FALSE,0.1924,426,ok,02-05-2027,366,FALSE,TRUE,average
LIC-0000052,V3-OF-012,V3-OF-020,Nexaflow,Flow Lite,Contributor,julie.woods@company.com,EMP-00040,Customer Success,L4,21-06-2018,01-07-2020,20-04-2026,active,power,match,11,0.8728,28,2871,2871,legacy,2018,2018-H1,31.23,374.76,0,FALSE,0.0942,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000053,V3-OF-086,V3-OF-093,Nexaflow,Mobile Access,Contributor,julie.woods@company.com,EMP-00040,Customer Success,L4,21-06-2018,01-04-2020,01-05-2026,active,power,match,0,0.86,25,2871,2871,legacy,2018,2018-H1,22.23,266.76,0,FALSE,0.07,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000059,V3-OF-013,V3-OF-020,Nexaflow,Flow Lite,Contributor,kelly.rao@company.com,EMP-00044,Customer Success,L4,14-10-2018,01-10-2020,24-04-2026,active,power,match,7,0.7211,20,2757,2756,legacy,2018,2018-H2,31.23,374.76,0,FALSE,0.1589,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000060,V3-OF-108,V3-OF-093,Nexaflow,Mobile Access,Contributor,kelly.rao@company.com,EMP-00044,Customer Success,L4,14-10-2018,01-07-2020,24-04-2026,active,power,match,7,0.7884,24,2757,2756,legacy,2018,2018-H2,22.23,266.76,0,FALSE,0.1252,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000063,V3-OF-109,V3-OF-093,Nexaflow,Mobile Access,Contributor,peter.smith@company.com,EMP-00049,Customer Success,L4,06-12-2018,01-01-2021,20-04-2026,active,moderate,match,11,0.4002,13,2703,2703,legacy,2018,2018-H2,22.23,266.76,0,FALSE,0.3305,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000064,V1-OF-044,V1-OF-052,Atlassify,Wiki Lite,Contributor,peter.smith@company.com,EMP-00049,Customer Success,L4,06-12-2018,01-01-2021,17-04-2025,active,moderate,match,379,0.554,13,2703,2703,legacy,2018,2018-H2,19.98,239.76,0,FALSE,0.2313,426,ok,02-05-2027,366,FALSE,TRUE,average
LIC-0000067,V3-OF-087,V3-OF-093,Nexaflow,Mobile Access,Contributor,kelly.rice@company.com,EMP-00054,Customer Success,L3,30-08-2018,01-04-2021,19-04-2026,active,power,match,12,0.7357,23,2807,2801,legacy,2018,2018-H2,22.23,266.76,0,FALSE,0.1655,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000071,V3-OF-016,V3-OF-020,Nexaflow,Flow Lite,Full,jason.ford@company.com,EMP-00055,Customer Success,L3,13-02-2018,01-04-2023,25-04-2026,over_tier,power,over_tier,6,0.6883,28,3008,2999,legacy,2018,2018-H1,31.23,374.76,0,FALSE,0.1725,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000072,V3-OF-110,V3-OF-093,Nexaflow,Mobile Access,Contributor,jason.ford@company.com,EMP-00055,Customer Success,L3,13-02-2018,01-07-2021,26-04-2026,active,moderate,match,5,0.5422,15,3008,2999,legacy,2018,2018-H1,22.23,266.76,0,FALSE,0.2428,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000076,V3-OF-014,V3-OF-020,Nexaflow,Flow Lite,Contributor,daniel.fleming@company.com,EMP-00059,Customer Success,L3,09-06-2018,01-10-2021,21-04-2026,active,underutilized,match,10,0.1517,6,2884,2883,legacy,2018,2018-H1,31.23,374.76,0,FALSE,0.4519,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000077,V3-OF-111,V3-OF-093,Nexaflow,Mobile Access,Contributor,daniel.fleming@company.com,EMP-00059,Customer Success,L3,09-06-2018,01-10-2021,20-04-2026,active,underutilized,match,11,0.1605,6,2884,2883,legacy,2018,2018-H1,22.23,266.76,0,FALSE,0.4503,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000079,V3-OF-015,V3-OF-020,Nexaflow,Flow Lite,Contributor,sarah.webb@company.com,EMP-00062,Customer Success,L3,26-02-2018,01-10-2022,26-04-2026,active,moderate,match,5,0.3972,10,2990,2986,legacy,2018,2018-H1,31.23,374.76,0,FALSE,0.3153,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000081,V3-OF-016,V3-OF-020,Nexaflow,Flow Lite,Contributor,sharon.thompson@company.com,EMP-00065,Customer Success,L3,17-08-2018,01-04-2023,05-04-2026,active,underutilized,match,26,0.108,1,2816,2814,legacy,2018,2018-H2,31.23,374.76,0,FALSE,0.5182,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000084,V3-OF-017,V3-OF-020,Nexaflow,Flow Lite,Contributor,ashley.wagner@company.com,EMP-00066,Customer Success,L3,13-11-2018,01-04-2024,18-04-2026,active,power,match,13,0.762,25,2734,2726,legacy,2018,2018-H2,31.23,374.76,0,FALSE,0.1551,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000088,V3-OF-018,V3-OF-020,Nexaflow,Flow Lite,Contributor,benjamin.little@company.com,EMP-00067,Customer Success,L3,23-09-2018,01-10-2024,30-04-2026,active,power,match,1,0.7624,24,2788,2777,legacy,2018,2018-H2,31.23,374.76,0,FALSE,0.1216,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000089,V3-OF-089,V3-OF-093,Nexaflow,Mobile Access,Full,benjamin.little@company.com,EMP-00067,Customer Success,L3,23-09-2018,01-10-2022,29-04-2026,over_tier,power,over_tier,2,0.8479,37,2788,2777,legacy,2018,2018-H2,22.23,266.76,0,FALSE,0.0816,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000093,V3-OF-017,V3-OF-020,Nexaflow,Flow Lite,Full,edward.mendoza@company.com,EMP-00070,Customer Success,L3,12-12-2018,01-04-2024,22-04-2026,over_tier,moderate,over_tier,9,0.5005,21,2708,2697,legacy,2018,2018-H2,31.23,374.76,0,FALSE,0.2748,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000094,V3-OF-088,V3-OF-093,Nexaflow,Mobile Access,Contributor,edward.mendoza@company.com,EMP-00070,Customer Success,L3,12-12-2018,01-04-2022,19-04-2026,active,power,match,12,0.7011,21,2708,2697,legacy,2018,2018-H2,22.23,266.76,0,FALSE,0.1828,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000098,V3-OF-084,V3-OF-093,Nexaflow,Mobile Access,Collaborator,janet.burns@company.com,EMP-00075,Customer Success,L2,08-06-2018,01-01-2019,11-03-2026,active,moderate,match,51,0.342,7,2896,2884,legacy,2018,2018-H1,22.23,266.76,0,FALSE,0.3373,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000099,V3-OF-085,V3-OF-093,Nexaflow,Mobile Access,Collaborator,shirley.stewart@company.com,EMP-00077,Customer Success,L2,06-01-2018,01-01-2020,22-04-2026,active,moderate,match,9,0.3702,8,3040,3037,legacy,2018,2018-H1,22.23,266.76,0,FALSE,0.3399,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000100,V1-OF-043,V1-OF-052,Atlassify,Wiki Lite,Collaborator,shirley.stewart@company.com,EMP-00077,Customer Success,L2,06-01-2018,01-01-2020,27-04-2026,active,underutilized,match,4,0.232,5,3040,3037,legacy,2018,2018-H1,19.98,239.76,0,FALSE,0.3951,426,ok,02-05-2027,366,FALSE,TRUE,average
LIC-0000103,V3-OF-010,V3-OF-020,Nexaflow,Flow Lite,Collaborator,adam.gonzales@company.com,EMP-00079,Customer Success,L2,30-08-2018,01-01-2019,01-05-2026,active,moderate,match,0,0.4331,8,2814,2801,legacy,2018,2018-H2,31.23,374.76,0,FALSE,0.2834,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000104,V3-OF-086,V3-OF-093,Nexaflow,Mobile Access,Collaborator,adam.gonzales@company.com,EMP-00079,Customer Success,L2,30-08-2018,01-04-2020,29-04-2026,active,power,match,2,0.7109,13,2814,2801,legacy,2018,2018-H2,22.23,266.76,0,FALSE,0.1501,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000105,V1-OF-044,V1-OF-052,Atlassify,Wiki Lite,Collaborator,adam.gonzales@company.com,EMP-00079,Customer Success,L2,30-08-2018,01-01-2021,27-04-2026,active,power,match,4,0.6561,12,2814,2801,legacy,2018,2018-H2,19.98,239.76,0,FALSE,0.1831,426,ok,02-05-2027,366,FALSE,TRUE,average
LIC-0000108,V1-OF-045,V1-OF-052,Atlassify,Wiki Lite,Contributor,helen.lee@company.com,EMP-00081,Customer Success,L2,12-08-2018,01-01-2022,01-05-2026,over_tier,moderate,over_tier,0,0.5801,19,2822,2819,legacy,2018,2018-H2,19.98,239.76,0,FALSE,0.21,426,ok,02-05-2027,366,FALSE,TRUE,average
LIC-0000110,V3-OF-011,V3-OF-020,Nexaflow,Flow Lite,Collaborator,donna.tucker@company.com,EMP-00082,Customer Success,L2,11-07-2018,01-01-2020,23-04-2026,active,power,match,8,0.7222,13,2855,2851,legacy,2018,2018-H2,31.23,374.76,0,FALSE,0.1611,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000111,V1-OF-045,V1-OF-052,Atlassify,Wiki Lite,Collaborator,donna.tucker@company.com,EMP-00082,Customer Success,L2,11-07-2018,01-01-2022,26-04-2026,active,power,match,5,0.724,12,2855,2851,legacy,2018,2018-H2,19.98,239.76,0,FALSE,0.1519,426,ok,02-05-2027,366,FALSE,TRUE,average
LIC-0000113,V1-OF-046,V1-OF-052,Atlassify,Wiki Lite,Collaborator,peter.palmer@company.com,EMP-00086,Customer Success,L2,17-02-2018,01-01-2023,23-04-2026,active,power,match,8,0.7323,11,2998,2995,legacy,2018,2018-H1,19.98,239.76,0,FALSE,0.1561,426,ok,02-05-2027,366,FALSE,TRUE,average
LIC-0000115,V3-OF-124,V3-OF-093,Nexaflow,Mobile Access,Collaborator,donald.brown@company.com,EMP-00087,Customer Success,L2,11-08-2018,01-07-2020,28-03-2026,active,power,match,34,0.72,11,2821,2820,legacy,2018,2018-H2,22.23,266.76,0,FALSE,0.2206,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000116,V1-OF-047,V1-OF-052,Atlassify,Wiki Lite,Collaborator,donald.brown@company.com,EMP-00087,Customer Success,L2,11-08-2018,01-07-2023,06-04-2026,active,power,match,25,0.697,18,2821,2820,legacy,2018,2018-H2,19.98,239.76,0,FALSE,0.1598,426,ok,02-05-2027,366,FALSE,TRUE,average
LIC-0000120,V2-OF-001,V2-OF-007,Cloudora,Cloud Infra Core,Full,anthony.evans@company.com,EMP-00114,Engineering,L5,06-09-2018,01-01-2020,27-04-2026,active,moderate,match,4,0.5761,23,2803,2794,legacy,2018,2018-H2,60.73,728.76,0,FALSE,0.2231,610,ok,02-11-2027,550,TRUE,FALSE,peak
LIC-0000122,V1-OF-001,V1-OF-008,Atlassify,Project Suite,Full,anthony.evans@company.com,EMP-00114,Engineering,L5,06-09-2018,01-01-2020,04-10-2025,active,underutilized,match,209,0.273,6,2803,2794,legacy,2018,2018-H2,26.85,322.2,0,FALSE,0.3829,245,ok,03-10-2026,155,TRUE,TRUE,peak
LIC-0000125,V3-OF-022,V3-OF-030,Nexaflow,Analytics Engine,Full,karen.hunter@company.com,EMP-00119,Engineering,L5,31-07-2018,01-01-2019,26-04-2026,active,power,match,5,0.6884,27,2841,2831,legacy,2018,2018-H2,35.31,423.72,0,FALSE,0.1697,426,ok,02-04-2027,336,FALSE,FALSE,peak
LIC-0000128,V2-OF-056,V2-OF-063,Cloudora,DevOps Toolkit,Full,ashley.brown@company.com,EMP-00133,Engineering,L5,12-03-2018,01-01-2020,23-05-2025,active,power,match,343,0.664,16,2986,2972,legacy,2018,2018-H1,42.09,505.08,0,FALSE,0.2236,426,ok,01-06-2027,396,TRUE,FALSE,average
LIC-0000134,V3-OF-022,V3-OF-030,Nexaflow,Analytics Engine,Contributor,kendall.porter@company.com,EMP-00139,Engineering,L4,13-12-2018,01-01-2019,24-04-2026,active,power,match,7,0.7643,24,2707,2696,legacy,2018,2018-H2,35.31,423.72,0,FALSE,0.1373,426,ok,02-04-2027,336,FALSE,FALSE,peak
LIC-0000136,V2-OF-001,V2-OF-007,Cloudora,Cloud Infra Core,Contributor,jessica.thompson@company.com,EMP-00144,Engineering,L4,24-06-2018,01-01-2020,09-01-2025,active,underutilized,match,477,0.287,17,2874,2868,legacy,2018,2018-H1,60.73,728.76,0,FALSE,0.4093,610,ok,02-11-2027,550,TRUE,FALSE,peak
LIC-0000137,V3-OF-001,V3-OF-008,Nexaflow,Flow Automation,Contributor,jessica.thompson@company.com,EMP-00144,Engineering,L4,24-06-2018,01-01-2019,30-04-2026,active,moderate,match,1,0.453,13,2874,2868,legacy,2018,2018-H1,46.86,562.32,0,FALSE,0.2763,426,ok,02-04-2027,336,FALSE,FALSE,peak
LIC-0000138,V3-OF-023,V3-OF-030,Nexaflow,Analytics Engine,Contributor,jessica.thompson@company.com,EMP-00144,Engineering,L4,24-06-2018,01-01-2020,25-04-2026,active,moderate,match,6,0.3636,10,2874,2868,legacy,2018,2018-H1,35.31,423.72,0,FALSE,0.3349,426,ok,02-04-2027,336,FALSE,FALSE,peak
LIC-0000139,V1-OF-001,V1-OF-008,Atlassify,Project Suite,Contributor,jessica.thompson@company.com,EMP-00144,Engineering,L4,24-06-2018,01-01-2020,24-04-2026,active,moderate,match,7,0.3726,10,2874,2868,legacy,2018,2018-H1,26.85,322.2,0,FALSE,0.3331,245,ok,03-10-2026,155,TRUE,TRUE,peak
LIC-0000141,V2-OF-056,V2-OF-063,Cloudora,DevOps Toolkit,Contributor,denise.park@company.com,EMP-00146,Engineering,L4,18-11-2018,01-01-2020,20-04-2026,active,power,match,11,0.602,19,2722,2721,legacy,2018,2018-H2,42.09,505.08,0,FALSE,0.2296,426,ok,01-06-2027,396,TRUE,FALSE,average
LIC-0000143,V3-OF-047,V3-OF-030,Nexaflow,Analytics Engine,Contributor,denise.park@company.com,EMP-00146,Engineering,L4,18-11-2018,01-07-2020,25-04-2026,active,power,match,6,0.7045,21,2722,2721,legacy,2018,2018-H2,35.31,423.72,0,FALSE,0.1644,426,ok,02-04-2027,336,FALSE,FALSE,peak
LIC-0000144,V1-OF-002,V1-OF-008,Atlassify,Project Suite,Full,denise.park@company.com,EMP-00146,Engineering,L4,18-11-2018,01-01-2021,30-04-2026,over_tier,power,over_tier,1,0.6028,25,2722,2721,legacy,2018,2018-H2,26.85,322.2,0,FALSE,0.2014,245,ok,03-10-2026,155,TRUE,TRUE,peak
LIC-0000145,V2-OF-002,V2-OF-007,Cloudora,Cloud Infra Core,Contributor,adrian.kelley@company.com,EMP-00147,Engineering,L4,07-07-2018,01-01-2021,17-04-2026,active,moderate,match,14,0.4948,14,2861,2855,legacy,2018,2018-H2,60.73,728.76,0,FALSE,0.2915,610,ok,02-11-2027,550,TRUE,FALSE,peak
LIC-0000148,V2-OF-021,V2-OF-007,Cloudora,Cloud Infra Core,Contributor,finley.singh@company.com,EMP-00150,Engineering,L4,21-04-2018,01-07-2021,29-01-2025,active,power,match,457,0.636,5,2945,2932,legacy,2018,2018-H1,60.73,728.76,0,FALSE,0.2403,610,ok,02-11-2027,550,TRUE,FALSE,peak
LIC-0000149,V3-OF-002,V3-OF-008,Nexaflow,Flow Automation,Contributor,finley.singh@company.com,EMP-00150,Engineering,L4,21-04-2018,01-01-2020,18-04-2025,active,moderate,match,378,0.349,8,2945,2932,legacy,2018,2018-H1,46.86,562.32,0,FALSE,0.3783,426,ok,02-04-2027,336,FALSE,FALSE,peak
LIC-0000150,V3-OF-024,V3-OF-030,Nexaflow,Analytics Engine,Contributor,finley.singh@company.com,EMP-00150,Engineering,L4,21-04-2018,01-01-2021,27-04-2026,active,power,match,4,0.7206,21,2945,2932,legacy,2018,2018-H1,35.31,423.72,0,FALSE,0.1508,426,ok,02-04-2027,336,FALSE,FALSE,peak
LIC-0000153,V2-OF-057,V2-OF-063,Cloudora,DevOps Toolkit,Contributor,charlie.robertson@company.com,EMP-00169,Engineering,L4,25-03-2018,01-01-2021,30-06-2025,active,power,match,305,0.603,13,2966,2959,legacy,2018,2018-H1,42.09,505.08,0,FALSE,0.2096,426,ok,01-06-2027,396,TRUE,FALSE,average
LIC-0000155,V3-OF-023,V3-OF-030,Nexaflow,Analytics Engine,Full,charlie.robertson@company.com,EMP-00169,Engineering,L4,25-03-2018,01-01-2020,23-04-2026,over_tier,underutilized,over_tier,8,0.2461,10,2966,2959,legacy,2018,2018-H1,35.31,423.72,0,FALSE,0.3992,426,ok,02-04-2027,336,FALSE,FALSE,peak
LIC-0000156,V1-OF-002,V1-OF-008,Atlassify,Project Suite,Contributor,charlie.robertson@company.com,EMP-00169,Engineering,L4,25-03-2018,01-01-2021,22-04-2026,active,underutilized,match,9,0.2567,7,2966,2959,legacy,2018,2018-H1,26.85,322.2,0,FALSE,0.3967,245,ok,03-10-2026,155,TRUE,TRUE,peak
LIC-0000159,V3-OF-001,V3-OF-008,Nexaflow,Flow Automation,Full,leah.porter@company.com,EMP-00172,Engineering,L4,08-03-2018,01-01-2019,22-04-2026,over_tier,moderate,over_tier,9,0.5157,21,2988,2976,legacy,2018,2018-H1,46.86,562.32,0,FALSE,0.2671,426,ok,02-04-2027,336,FALSE,FALSE,peak
LIC-0000160,V3-OF-032,V3-OF-030,Nexaflow,Analytics Engine,Full,leah.porter@company.com,EMP-00172,Engineering,L4,08-03-2018,01-07-2020,27-04-2026,over_tier,moderate,over_tier,4,0.5078,22,2988,2976,legacy,2018,2018-H1,35.31,423.72,0,FALSE,0.2572,426,ok,02-04-2027,336,FALSE,FALSE,peak
LIC-0000161,V1-OF-010,V1-OF-008,Atlassify,Project Suite,Full,leah.porter@company.com,EMP-00172,Engineering,L4,08-03-2018,01-07-2021,20-04-2026,over_tier,moderate,over_tier,11,0.452,19,2988,2976,legacy,2018,2018-H1,26.85,322.2,0,FALSE,0.3046,245,ok,03-10-2026,155,TRUE,TRUE,peak
LIC-0000164,V3-OF-048,V3-OF-030,Nexaflow,Analytics Engine,Contributor,william.campbell@company.com,EMP-00173,Engineering,L4,28-05-2018,01-01-2021,26-04-2026,active,moderate,match,5,0.4314,14,2898,2895,legacy,2018,2018-H1,35.31,423.72,0,FALSE,0.2982,426,ok,02-04-2027,336,FALSE,FALSE,peak
LIC-0000166,V2-OF-003,V2-OF-007,Cloudora,Cloud Infra Core,Contributor,raymond.matthews@company.com,EMP-00175,Engineering,L4,28-07-2018,01-01-2022,23-12-2024,active,moderate,match,494,0.429,16,2846,2834,legacy,2018,2018-H2,60.73,728.76,0,FALSE,0.3161,610,ok,02-11-2027,550,TRUE,FALSE,peak
LIC-0000168,V3-OF-076,V3-OF-030,Nexaflow,Analytics Engine,Contributor,raymond.matthews@company.com,EMP-00175,Engineering,L4,28-07-2018,01-01-2021,18-04-2026,active,moderate,match,13,0.4577,14,2846,2834,legacy,2018,2018-H2,35.31,423.72,0,FALSE,0.3073,426,ok,02-04-2027,336,FALSE,FALSE,peak
LIC-0000170,V2-OF-022,V2-OF-007,Cloudora,Cloud Infra Core,Contributor,richard.fisher@company.com,EMP-00180,Engineering,L3,25-10-2018,01-01-2022,29-04-2026,active,moderate,match,2,0.556,18,2746,2745,legacy,2018,2018-H2,60.73,728.76,0,FALSE,0.2276,610,ok,02-11-2027,550,TRUE,FALSE,peak
